label	text_a
0	The 111 are a rapidly growing class of 222 with a broad spectrum of activity against gram-negative and some gram-positive aerobic bacteria.
0	In order to provide information for the appropriate package insert labeling of 111 ( POC ) in the US, a comprehensive review was made of 222 (# mg) and norethindrone (# mg), with the clinical differences indicated where applicable.
0	In order to provide information for the appropriate package insert labeling of 111 ( POC ) in the US, a comprehensive review was made of norgestrel (# mg) and 222 (# mg), with the clinical differences indicated where applicable.
0	In order to provide information for the appropriate package insert labeling of progestin-only_oral_contraceptives ( 111 ) in the US, a comprehensive review was made of 222 (# mg) and norethindrone (# mg), with the clinical differences indicated where applicable.
0	In order to provide information for the appropriate package insert labeling of progestin-only_oral_contraceptives ( 111 ) in the US, a comprehensive review was made of norgestrel (# mg) and 222 (# mg), with the clinical differences indicated where applicable.
0	In order to provide information for the appropriate package insert labeling of progestin-only_oral_contraceptives ( POC ) in the US, a comprehensive review was made of 111 (# mg) and 222 (# mg), with the clinical differences indicated where applicable.
0	Antimicrobial activity of 111 alone and in combination with some 222 .
0	To investigate the effects of antimicrobial combinations of 111 with four kinds of 222 ( ampicillin , cefazolin , oxytetracycline and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
0	To investigate the effects of antimicrobial combinations of 111 with four kinds of antibiotics ( 222 , cefazolin , oxytetracycline and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
0	To investigate the effects of antimicrobial combinations of 111 with four kinds of antibiotics ( ampicillin , 222 , oxytetracycline and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
0	To investigate the effects of antimicrobial combinations of 111 with four kinds of antibiotics ( ampicillin , cefazolin , 222 and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
0	To investigate the effects of antimicrobial combinations of 111 with four kinds of antibiotics ( ampicillin , cefazolin , oxytetracycline and 222 ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
2	The antimicrobial combinations of 111 with four 222 resulted in additive effect in most instances, synergism in two instances, and antagonism in two instances.
2	Synergism was observed when 111 was combined with 222 against Bacillus subtilis and Klebsiella oxytoca.
0	On the basis of the estimated number of regular users of intravenous 111 in Ontario, the mortality rate in such users is at least four times as high as in the general population of the same age, and is comparable to that in alcoholics and 222 addicts.
0	However, the absolute number of 111 -related deaths is far greater than the number of deaths in 222 or heroin users.
0	However, the absolute number of 111 -related deaths is far greater than the number of deaths in amphetamine or 222 users.
0	However, the absolute number of alcohol -related deaths is far greater than the number of deaths in 111 or 222 users.
0	Differential regulation of tyrosine phosphorylation in tumor cells by 111 , a homodimeric disintegrin, and monomeric disintegrins 222 and flavoridin .
0	Differential regulation of tyrosine phosphorylation in tumor cells by 111 , a homodimeric disintegrin, and monomeric disintegrins echistatin and 222 .
0	Differential regulation of tyrosine phosphorylation in tumor cells by contortrostatin , a homodimeric disintegrin, and monomeric disintegrins 111 and 222 .
0	The homodimeric disintegrin 111 was compared directly to the monomeric disintegrins 222 and flavoridin for the ability to affect protein tyrosine phosphorylation in tumor cells.
0	The homodimeric disintegrin 111 was compared directly to the monomeric disintegrins echistatin and 222 for the ability to affect protein tyrosine phosphorylation in tumor cells.
0	The homodimeric disintegrin contortrostatin was compared directly to the monomeric disintegrins 111 and 222 for the ability to affect protein tyrosine phosphorylation in tumor cells.
2	111 alone had no effect on tyrosine phosphorylation in T24 cells, but dose-dependently inhibits the effects of 222 when both are added simultaneously.
2	111 alone was found to have no effect on CAS, but can completely block 222 -induced phosphorylation of this protein in MDA-MB-435 cells.
0	111 , at pH #, was used to chemically modify exposed histidine residues on 222 .
0	Modification of 111 with 222 abolished both its cytotoxic activity and the ability of the toxin to bind Zn-Sepharose gel.
0	Treatment of 111 with [(14)C]- 222 revealed concentration dependent labelling of histidine residues on the toxin molecules.
0	The effects of 111 could be reversed by 222 treatment.
0	Exposed histidines on 111 are available for 222 chelation, and these have been exploited in the development of a novel purification protocol for toxin_A using zinc -chelating chromatography.
0	Exposed histidines on 111 are available for zinc chelation, and these have been exploited in the development of a novel purification protocol for toxin_A using 222 -chelating chromatography.
0	Exposed histidines on toxin_A are available for 111 chelation, and these have been exploited in the development of a novel purification protocol for 222 using zinc -chelating chromatography.
0	Exposed histidines on toxin_A are available for zinc chelation, and these have been exploited in the development of a novel purification protocol for 111 using 222 -chelating chromatography.
0	Note: dissolution of aerosol particles of 111 in 222 , a model lung_surfactant .
0	Note: dissolution of aerosol particles of 111 in Survanta , a model 222 .
0	Note: dissolution of aerosol particles of budesonide in 111 , a model 222 .
0	The effect of a 111 extract from bovine lung, 222 , on the dissolution rate of aerosol particles of budesonide was determined.
0	The effect of a 111 extract from bovine lung, Survanta , on the dissolution rate of aerosol particles of 222 was determined.
0	The effect of a pulmonary_surfactant extract from bovine lung, 111 , on the dissolution rate of aerosol particles of 222 was determined.
0	Aerosol particles of 111 were generated from an 222 solution, dried, and collected by a cascade impactor for characterization or by a liquid impinger for dissolution experiments.
0	111 increased the extent of dissolution of 222 in proportion to the added concentration, which was also verified by equilibrium solubilization studies.
0	111 also increased rate of dissolution, in a manner similar to 222 .
0	Analysis of the concentration of 111 following ultracentrifugation indicated that there is rapid equilibration of budesonide between the 222 and aqueous phase.
0	Analysis of the concentration of budesonide following ultracentrifugation indicated that there is rapid equilibration of 111 between the 222 and aqueous phase.
2	Using in situ hybridization, we observed that 111 caused a rapid and transient dose-dependent increase in arc mRNA level in the striatum and cortex that was abolished by pretreatment with the specific dopamine D1 receptor antagonist 222 but not by an atypical_neuroleptic clozapine .
0	Using in situ hybridization, we observed that 111 caused a rapid and transient dose-dependent increase in arc mRNA level in the striatum and cortex that was abolished by pretreatment with the specific dopamine D1 receptor antagonist SCH-23390 but not by an 222 clozapine .
0	Using in situ hybridization, we observed that 111 caused a rapid and transient dose-dependent increase in arc mRNA level in the striatum and cortex that was abolished by pretreatment with the specific dopamine D1 receptor antagonist SCH-23390 but not by an atypical_neuroleptic 222 .
0	Using in situ hybridization, we observed that METH caused a rapid and transient dose-dependent increase in arc mRNA level in the striatum and cortex that was abolished by pretreatment with the specific dopamine D1 receptor antagonist 111 but not by an 222 clozapine .
0	Using in situ hybridization, we observed that METH caused a rapid and transient dose-dependent increase in arc mRNA level in the striatum and cortex that was abolished by pretreatment with the specific dopamine D1 receptor antagonist 111 but not by an atypical_neuroleptic 222 .
0	Using in situ hybridization, we observed that METH caused a rapid and transient dose-dependent increase in arc mRNA level in the striatum and cortex that was abolished by pretreatment with the specific dopamine D1 receptor antagonist SCH-23390 but not by an 111 222 .
0	The effects of 111 and 222 upon phencyclidine ( PCP )-induced locomotion and behavioral changes in mice.
0	The effects of 111 and L-CCG-1 upon 222 ( PCP )-induced locomotion and behavioral changes in mice.
0	The effects of 111 and L-CCG-1 upon phencyclidine ( 222 )-induced locomotion and behavioral changes in mice.
0	The effects of DCG-IV and 111 upon 222 ( PCP )-induced locomotion and behavioral changes in mice.
0	The effects of DCG-IV and 111 upon phencyclidine ( 222 )-induced locomotion and behavioral changes in mice.
0	Then, the effects of metabotropic glutamate receptor (mGluR) agonists, 111 and 222 , on the above behavioral changes induced by PCP were found.
0	Then, the effects of metabotropic glutamate receptor (mGluR) agonists, 111 and L-CCG-1 , on the above behavioral changes induced by 222 were found.
0	Then, the effects of metabotropic glutamate receptor (mGluR) agonists, DCG-IV and 111 , on the above behavioral changes induced by 222 were found.
2	The effects of 111 were very strong and completely depressed the 222 -induced hyperlocomotion.
0	Behavioral responses to repeated 111 exposure in mice selectively bred for differential sensitivity to 222 .
0	Mice from the 20th generation of three lines divergently selected for response to 111 -induced sedation times [long-sedation time (LST), short sedation time (SST), and randomly bred control (RBC)] were used to study 222 -induced behavioral sensitization.
0	111 ( 18-MC ) and 222 : comparison of antiaddictive efficacy, toxicity, and mechanisms of action.
0	18-Methoxycoronaridine ( 111 ) and 222 : comparison of antiaddictive efficacy, toxicity, and mechanisms of action.
0	Like 111 (40 mg/kg), 222 (40 mg/kg) decreases the intravenous self-administration of morphine and cocaine and the oral self-administration of ethanol and nicotine in rats;
0	Like 111 (40 mg/kg), 18-MC (40 mg/kg) decreases the intravenous self-administration of 222 and cocaine and the oral self-administration of ethanol and nicotine in rats;
0	Like 111 (40 mg/kg), 18-MC (40 mg/kg) decreases the intravenous self-administration of morphine and 222 and the oral self-administration of ethanol and nicotine in rats;
0	Like 111 (40 mg/kg), 18-MC (40 mg/kg) decreases the intravenous self-administration of morphine and cocaine and the oral self-administration of 222 and nicotine in rats;
0	Like 111 (40 mg/kg), 18-MC (40 mg/kg) decreases the intravenous self-administration of morphine and cocaine and the oral self-administration of ethanol and 222 in rats;
0	Like ibogaine (40 mg/kg), 111 (40 mg/kg) decreases the intravenous self-administration of 222 and cocaine and the oral self-administration of ethanol and nicotine in rats;
0	Like ibogaine (40 mg/kg), 111 (40 mg/kg) decreases the intravenous self-administration of morphine and 222 and the oral self-administration of ethanol and nicotine in rats;
